season,avg_innings_score,season_num
2007/08,154.6293103448276,1
2009,140.97413793103448,2
2009/10,154.77868852459017,3
2011,145.8896551724138,4
2012,151.70945945945945,5
2013,144.8846153846154,6
2014,155.172131147541,7
2015,154.2268907563025,8
2016,157.18333333333334,9
2017,156.55,10
2018,165.84166666666667,11
2019,156.7258064516129,12
2020/21,149.35384615384615,13
2021,152.7622950819672,14
2022,164.8310810810811,15
2023,174.7482993197279,16
2024,182.8943661971831,17
