season,economy_rate
2007/08,7.97850100081548
2009,7.211377333529326
2009/10,7.81473306662988
2011,7.460412625639217
2012,7.5824843811560765
2013,7.460637068823238
2014,7.943076923076923
2015,8.066070905361851
2016,8.028660612939841
2017,8.131294185543211
2018,8.3582528349433
2019,8.147288988261598
2020/21,8.001648464867092
2021,7.751958405545928
2022,8.171616793211255
2023,8.628337905167106
2024,9.111033152078583
