season,run_rate,season_num
2007/08,7.97850100081548,1
2009,7.211377333529325,2
2009/10,7.814733066629881,3
2011,7.460412625639217,4
2012,7.5824843811560765,5
2013,7.460637068823238,6
2014,7.943076923076923,7
2015,8.066070905361851,8
2016,8.028660612939841,9
2017,8.131294185543211,10
2018,8.3582528349433,11
2019,8.147288988261598,12
2020/21,8.001648464867092,13
2021,7.751958405545928,14
2022,8.171616793211255,15
2023,8.628337905167106,16
2024,9.111033152078582,17
